0	1	2	3	4	5	6	7	8	9	10	11	12	label	predict
13.5100	1.8000	2.6500	19.0000	110.0000	2.3500	2.5300	0.2900	1.5400	4.2000	1.1000	2.8700	1095.0000	1	1
13.0500	1.7300	2.0400	12.4000	92.0000	2.7200	3.2700	0.1700	2.9100	7.2000	1.1200	2.9100	1150.0000	1	1
13.2400	2.5900	2.8700	21.0000	118.0000	2.8000	2.6900	0.3900	1.8200	4.3200	1.0400	2.9300	735.0000	1	1
14.2000	1.7600	2.4500	15.2000	112.0000	3.2700	3.3900	0.3400	1.9700	6.7500	1.0500	2.8500	1450.0000	1	1
13.0500	1.7700	2.1000	17.0000	107.0000	3.0000	3.0000	0.2800	2.0300	5.0400	0.8800	3.3500	885.0000	1	1
13.8700	1.9000	2.8000	19.4000	107.0000	2.9500	2.9700	0.3700	1.7600	4.5000	1.2500	3.4000	915.0000	1	1
14.0600	2.1500	2.6100	17.6000	121.0000	2.6000	2.5100	0.3100	1.2500	5.0500	1.0600	3.5800	1295.0000	1	1
14.3800	3.5900	2.2800	16.0000	102.0000	3.2500	3.1700	0.2700	2.1900	4.9000	1.0400	3.4400	1065.0000	1	1
13.8300	1.5700	2.6200	20.0000	115.0000	2.9500	3.4000	0.4000	1.7200	6.6000	1.1300	2.5700	1130.0000	1	1
14.1200	1.4800	2.3200	16.8000	95.0000	2.2000	2.4300	0.2600	1.5700	5.0000	1.1700	2.8200	1280.0000	1	1
14.1900	1.5900	2.4800	16.5000	108.0000	3.3000	3.9300	0.3200	1.8600	8.7000	1.2300	2.8200	1680.0000	1	1
13.3000	1.7200	2.1400	17.0000	94.0000	2.4000	2.1900	0.2700	1.3500	3.9500	1.0200	2.7700	1285.0000	1	1
13.2800	1.6400	2.8400	15.5000	110.0000	2.6000	2.6800	0.3400	1.3600	4.6000	1.0900	2.7800	880.0000	1	1
13.2900	1.9700	2.6800	16.8000	102.0000	3.0000	3.2300	0.3100	1.6600	6.0000	1.0700	2.8400	1270.0000	1	1
13.5800	1.6600	2.3600	19.1000	106.0000	2.8600	3.1900	0.2200	1.9500	6.9000	1.0900	2.8800	1515.0000	1	1
13.7300	1.5000	2.7000	22.5000	101.0000	3.0000	3.2500	0.2900	2.3800	5.7000	1.1900	2.7100	1285.0000	1	1
14.7500	1.7300	2.3900	11.4000	91.0000	3.1000	3.6900	0.4300	2.8100	5.4000	1.2500	2.7300	1150.0000	1	1
13.7600	1.5300	2.7000	19.5000	132.0000	2.9500	2.7400	0.5000	1.3500	5.4000	1.2500	3.0000	1235.0000	1	1
13.7400	1.6700	2.2500	16.4000	118.0000	2.6000	2.9000	0.2100	1.6200	5.8500	0.9200	3.2000	1060.0000	1	1
14.3000	1.9200	2.7200	20.0000	120.0000	2.8000	3.1400	0.3300	1.9700	6.2000	1.0700	2.6500	1280.0000	1	1
13.5600	1.7100	2.3100	16.2000	117.0000	3.1500	3.2900	0.3400	2.3400	6.1300	0.9500	3.3800	795.0000	1	1
14.2300	1.7100	2.4300	15.6000	127.0000	2.8000	3.0600	0.2800	2.2900	5.6400	1.0400	3.9200	1065.0000	1	1
14.8300	1.6400	2.1700	14.0000	97.0000	2.8000	2.9800	0.2900	1.9800	5.2000	1.0800	2.8500	1045.0000	1	1
13.6300	1.8100	2.7000	17.2000	112.0000	2.8500	2.9100	0.3000	1.4600	7.3000	1.2800	2.8800	1310.0000	1	1
