0	1	2	3	4	5	6	7	8	9	label	predict
0.4398	0.4788	0.4113	-0.3747	0.4642	-0.2020	0.2570	-0.1189	0.4814	-0.2967	1	1
-5.1301	-4.5625	-4.9049	-4.6023	-4.7946	-4.9847	-5.1336	-4.5066	-5.0256	-4.6682	2	2
6.3860	6.1415	5.6729	6.0836	5.7558	6.0160	5.6058	5.6341	6.4084	5.5471	3	3
-0.1554	-0.0463	0.0013	-0.1094	-0.0403	0.0543	0.1271	-0.0470	-0.1136	-0.1274	1	1
6.4643	6.1355	5.9058	5.5605	6.2400	-4.5183	-4.6607	-5.1880	-5.0680	-5.2291	4	4
-5.0113	-4.7836	-4.9707	-5.3891	-5.4713	-4.5770	-5.2814	-4.8315	-5.1521	-5.1770	2	2
0.2058	-0.3906	0.2692	-0.0525	0.0468	-0.3279	-0.3889	0.1121	0.1330	0.4079	1	1
-4.5619	-5.0686	-4.8476	-4.7726	-5.1413	-5.1292	-5.1020	-5.1436	-4.8709	-4.7629	2	2
-4.9251	-5.1376	-4.9760	-5.0357	-5.1995	-5.2008	-5.0195	-4.9337	-4.9586	-4.9190	2	2
6.4036	5.5146	5.5040	6.4710	5.5565	-4.9719	-4.5611	-5.1648	-4.9769	-4.9672	4	4
-0.2322	0.4748	-0.1417	0.2403	0.3104	0.1439	-0.0025	-0.3260	0.2079	-0.4025	1	1
-0.2035	-0.0870	-0.4386	0.4564	0.2832	0.3247	-0.0438	0.1034	-0.3550	-0.2061	1	1
-0.4330	0.1782	0.2315	-0.1961	0.0781	0.1734	-0.1066	-0.4249	0.3102	0.4149	1	1
5.9061	6.1299	6.4315	6.3506	6.0754	5.5324	5.8565	6.0741	5.9768	5.9814	3	3
6.1894	5.9604	6.1562	6.0542	5.8999	-5.2264	-4.9330	-5.0510	-5.0006	-4.9706	4	4
-0.2752	-0.2099	-0.1975	0.2573	-0.1078	-0.2494	0.4368	0.3717	-0.4359	0.2702	1	1
5.8916	6.0351	6.2678	6.0057	5.8653	-4.6940	-4.5208	-4.9510	-4.6989	-4.9782	4	4
5.6766	5.8927	6.0736	6.3442	6.3577	-4.5356	-5.4199	-4.9880	-5.3794	-5.0571	4	4
5.9942	6.2371	5.9539	6.3992	6.0285	-4.5248	-4.7674	-5.0303	-5.3463	-5.3057	4	4
0.0220	0.1774	0.3304	-0.0545	-0.0034	0.2557	-0.4569	-0.3443	0.1017	-0.2347	1	1
6.0762	5.9560	6.0997	6.1095	5.7563	5.9370	5.5592	5.9140	5.9250	5.9818	3	3
-4.6626	-5.0415	-4.6335	-5.0140	-5.2668	-5.0135	-4.9301	-5.3086	-4.9522	-5.0970	2	2
5.6726	6.3298	5.7469	5.7266	6.4980	-4.9339	-4.8871	-4.5579	-4.9671	-5.1930	4	4
5.9640	6.4553	6.3033	5.7607	5.8675	-5.0269	-4.6160	-4.9014	-5.0731	-5.2473	4	4
-0.1246	-0.3561	0.2988	-0.0571	0.2341	0.4273	0.2829	-0.1196	-0.2295	0.3682	1	1
5.8552	5.9201	5.8875	6.1436	6.0416	6.1423	5.8661	5.6958	5.9896	6.0529	3	3
5.9802	5.9513	5.9252	6.0543	5.8046	6.1477	5.8983	6.0275	6.0307	5.8257	3	3
-5.1735	-5.2157	-5.1336	-4.7739	-4.8297	-4.6368	-5.0011	-4.8976	-4.7906	-4.5821	2	2
6.0448	5.8350	5.7307	6.3519	5.6063	-4.9561	-4.6754	-5.1358	-5.0947	-5.4073	4	4
6.0708	5.8618	5.5603	6.3639	5.9405	-5.4619	-5.2915	-4.8007	-4.6317	-4.8732	4	4
6.1644	6.1143	5.8961	6.0376	5.9048	6.1510	6.1979	6.0560	5.8090	5.5122	3	3
6.1287	6.0522	5.8070	6.1380	5.9891	-5.0102	-5.0718	-5.0763	-4.7129	-4.9946	4	4
-0.4441	0.3853	-0.2001	0.3175	0.4866	-0.0755	0.0307	-0.1324	0.3028	0.4855	1	1
5.5487	6.0158	6.0733	6.3663	6.3243	6.4687	6.0011	5.9373	6.0443	5.9681	3	3
0.0369	0.0070	0.0437	0.3668	0.1404	0.0226	0.1296	-0.2962	-0.0334	0.0483	1	1
-0.4290	0.4076	-0.3236	0.2195	0.1959	-0.4864	-0.3705	0.4434	0.0849	0.3191	1	1
6.1369	6.2577	5.6336	5.8849	5.9688	6.1588	5.8516	5.9249	5.8728	6.1950	3	3
-4.9050	-4.8569	-5.1260	-4.8324	-4.8417	-4.8127	-4.8038	-5.3587	-4.8864	-4.9313	2	2
5.9714	6.0048	5.5144	6.4794	6.4476	5.6211	6.0192	6.4361	6.4150	5.5959	3	3
-0.3288	0.0687	0.4753	-0.0177	0.0452	0.2108	0.3632	-0.2390	0.1971	0.3837	1	1
6.4906	6.4823	6.1391	6.2196	6.1380	5.5559	5.6953	6.1560	5.8058	6.3670	3	3
6.1946	6.1554	5.9954	5.9641	5.6047	5.9423	6.2848	5.8818	5.7883	5.8149	3	3
5.5791	5.7924	5.8977	5.7551	6.1554	-5.2689	-4.7683	-5.3785	-4.8497	-5.4988	4	4
6.0005	5.8431	5.9046	6.0553	5.7261	6.3676	6.2049	6.0661	5.8738	6.3464	3	3
5.7911	5.8095	6.3155	6.1393	6.3101	5.7837	5.9947	5.9698	6.3625	6.1189	3	3
0.1030	0.0268	0.1424	-0.4068	0.4456	0.0126	-0.2202	-0.1682	-0.0308	0.1042	1	1
6.1805	5.5403	6.4218	5.7673	6.0159	6.2288	5.7346	6.4084	6.3658	5.8175	3	3
-4.8995	-4.6103	-4.5451	-5.2938	-5.3812	-5.0624	-4.9966	-4.5316	-4.9451	-4.6802	2	2
5.6340	5.6675	5.7303	5.7497	6.0399	6.2561	6.0079	6.0658	6.3516	6.2063	3	3
6.2231	6.2866	6.3640	5.7916	6.3887	6.3287	5.6505	5.9695	5.9125	5.5959	3	3
6.1817	5.6271	6.0075	6.4309	5.5850	6.0764	5.9257	5.6369	6.2617	6.2470	3	3
0.4508	0.1453	-0.0981	-0.2758	0.2153	0.3067	-0.4035	-0.3961	-0.2735	-0.3006	1	1
5.8507	5.8902	6.1676	5.8520	6.0633	5.7804	6.0340	5.8295	5.5361	6.4984	3	3
0.2513	0.4002	0.4268	-0.0921	0.2656	-0.1854	-0.2526	0.0419	0.4676	0.2348	1	1
-5.2343	-5.3519	-5.2942	-5.0427	-5.1787	-4.6697	-5.2373	-5.0190	-5.1689	-5.4943	2	2
6.4720	6.4814	6.3611	6.0500	5.9582	-5.2572	-4.9451	-5.2429	-5.3364	-4.6916	4	4
-0.3882	-0.2328	0.3281	0.4187	-0.0827	0.1653	-0.3099	0.3036	0.3310	-0.0596	1	1
6.1816	5.6639	5.8337	5.8428	5.9594	6.3053	6.1998	6.4637	6.1318	6.2606	3	3
6.2101	6.0908	6.1192	6.0131	5.9970	-5.0864	-5.1371	-4.9377	-4.9603	-5.0203	4	4
5.5685	5.5234	5.9752	6.2989	6.2227	-4.8868	-5.1777	-4.9185	-5.0034	-4.9715	4	4
-4.9870	-4.9926	-4.9369	-5.0994	-4.9670	-5.0314	-5.0681	-5.0548	-4.8909	-5.0573	2	2
5.5908	5.8000	6.0171	5.9438	5.7565	5.8793	6.0117	5.6937	5.8149	5.8801	3	3
5.8586	5.5856	6.4499	5.9881	5.9792	-5.3188	-4.6059	-4.7347	-5.2892	-5.0089	4	4
6.1655	6.0065	6.0470	6.2493	6.0588	-4.9374	-5.3750	-5.0406	-5.0288	-5.3236	4	4
6.4629	5.9611	6.3918	5.5389	6.3885	5.8970	5.9103	6.0370	5.9509	5.7120	3	3
-5.4118	-4.7947	-4.6317	-5.4337	-4.5619	-4.5884	-4.6502	-4.8852	-4.7274	-4.5532	2	2
6.3018	5.7492	5.9185	5.8557	5.8474	-5.0555	-4.9430	-4.8594	-5.2715	-5.0875	4	4
-4.9505	-5.1943	-5.3885	-4.9615	-4.8379	-4.6802	-4.6885	-4.6812	-4.6474	-4.6544	2	2
5.5947	6.0452	5.5868	6.1316	6.4632	-5.4024	-4.5408	-4.5708	-4.7303	-5.3056	4	4
5.5941	5.6027	5.9335	5.5966	5.6979	-5.0734	-4.8280	-4.9656	-4.9127	-4.6799	4	4
5.6511	6.2136	5.8931	5.6833	6.2321	-5.3433	-5.2345	-4.6239	-4.9370	-4.5249	4	4
-4.9259	-4.5266	-5.1634	-5.3950	-4.7205	-4.5748	-4.5791	-5.0073	-5.2088	-5.1275	2	2
0.1828	-0.1610	0.0128	-0.3609	-0.0134	0.0859	-0.1063	0.0242	-0.1750	0.1060	1	1
0.0961	-0.2471	-0.2229	-0.1153	-0.1068	-0.4591	0.3015	-0.0189	-0.4350	0.3950	1	1
0.2146	-0.3108	-0.1762	-0.1021	-0.4475	-0.4977	0.3089	0.0059	-0.1854	-0.0031	1	1
-5.4736	-4.9914	-5.1841	-5.2847	-4.8151	-4.6972	-4.9678	-5.1012	-5.1002	-4.6064	2	2
0.0490	-0.2018	0.3740	-0.2917	-0.0177	0.0255	0.0041	0.3017	-0.2063	0.1655	1	1
-4.9053	-5.1582	-4.8737	-5.0499	-5.1968	-5.0785	-4.9055	-5.1006	-5.0312	-5.1865	2	2
6.2200	6.3496	6.0547	5.8704	6.1906	5.9086	6.1323	6.1654	5.6305	6.1557	3	3
-5.0410	-5.1543	-4.6176	-5.4472	-4.5850	-5.2858	-4.6697	-4.7622	-5.0815	-5.1108	2	2
5.9081	6.0658	5.9819	5.7021	6.4694	-4.5924	-4.8495	-5.2292	-5.3494	-5.2442	4	4
0.1643	0.0610	-0.1248	0.0435	0.4539	0.4223	0.3572	-0.1875	-0.2182	0.3469	1	1
-5.2569	-4.7786	-4.9578	-5.1971	-5.0806	-5.1005	-5.0404	-5.4091	-4.7814	-4.6227	2	2
-5.1395	-4.6761	-4.8351	-5.1550	-4.7172	-4.8317	-4.7833	-5.2851	-4.8778	-4.9435	2	2
6.0468	5.6876	6.0546	6.3933	5.5062	5.7358	6.3430	5.5877	5.7267	6.1125	3	3
5.5342	6.4261	5.9755	6.1914	6.3582	5.6621	6.0300	5.5867	6.2558	5.9797	3	3
6.0322	5.8320	5.7467	6.4270	6.0635	-5.3718	-5.0245	-4.7334	-5.2422	-5.1548	4	4
-0.0589	-0.1947	0.2008	-0.0004	-0.1308	0.1438	0.2784	-0.0985	0.0950	-0.2574	1	1
-4.9573	-5.1460	-4.9464	-5.2111	-5.0775	-4.8903	-5.1739	-5.0933	-4.7942	-4.7815	2	2
5.8110	5.6335	5.7272	6.0795	5.7211	-5.0282	-4.7720	-4.5912	-4.9394	-5.0006	4	4
5.7851	6.2989	6.0191	6.1428	5.6787	-5.2973	-4.7661	-4.8151	-4.8175	-4.8345	4	4
-0.2313	0.1030	0.0327	-0.2349	0.4047	-0.2430	-0.4315	-0.3356	0.0169	0.1541	1	1
-4.5593	-5.4344	-4.7619	-4.6509	-5.0280	-5.4085	-4.7209	-4.6157	-4.7811	-5.0533	2	2
5.8187	5.8114	5.6324	6.3099	5.7055	6.2360	6.3075	6.0261	6.0303	6.0705	3	3
5.9305	5.8410	5.8594	5.9661	6.1431	5.9748	5.8795	5.5074	5.7213	6.0761	3	3
-4.7413	-4.7051	-5.4590	-4.8387	-4.5949	-5.0119	-5.2448	-5.0323	-5.1976	-5.2671	2	2
-4.5164	-4.5934	-5.1954	-5.4395	-5.1762	-4.5749	-5.3054	-4.9313	-5.1256	-4.6345	2	2
6.2865	5.7740	6.4554	5.6801	6.4561	5.7459	6.2996	6.2598	6.3214	5.5763	3	3
6.3661	6.0649	6.0275	5.8626	5.7313	5.9396	6.1155	6.1540	5.5598	5.6249	3	3
0.0676	-0.0257	0.1068	0.0202	0.1039	-0.0625	-0.1858	-0.0052	0.0921	-0.0495	1	1
5.8101	5.9096	6.0990	5.8088	6.0178	5.8506	5.9796	6.0679	5.9131	6.0123	3	3
6.1052	5.6813	6.2379	6.3150	5.9793	-5.3706	-4.7312	-4.8126	-5.0326	-5.0092	4	4
0.4816	-0.1643	-0.1154	-0.0353	0.1281	-0.2536	0.2027	0.4643	0.1793	-0.1399	1	1
0.2280	0.1805	0.2871	-0.2418	-0.1514	-0.2125	-0.0100	0.4758	-0.0738	-0.1569	1	1
-5.3750	-4.5213	-4.5729	-4.7215	-5.2098	-4.5961	-4.6921	-5.4841	-5.0752	-5.0910	2	2
-0.2150	0.4915	0.1483	0.2093	-0.2784	-0.4183	-0.3293	0.2816	0.0557	0.3783	1	1
6.1930	5.9133	6.2189	6.0731	5.8037	-4.8582	-4.9854	-5.1320	-4.9373	-4.8868	4	4
6.0004	5.7270	6.2284	6.0209	6.1348	-5.3286	-4.6864	-5.2022	-5.2895	-4.6360	4	4
6.3653	6.2262	6.0325	5.8846	5.7441	-4.9554	-4.8335	-4.9841	-4.7776	-5.0126	4	4
5.9873	5.6030	5.7389	6.1685	6.3419	5.7509	5.9730	6.3887	6.4278	5.8829	3	3
6.3379	5.7881	6.2172	6.1156	5.5899	5.5065	6.2930	5.9508	5.6452	6.1308	3	3
-5.3528	-4.9718	-4.7819	-5.3350	-5.1368	-4.7752	-5.4857	-5.1484	-4.6797	-4.5423	2	2
-0.3737	-0.0118	0.1218	0.0362	0.0289	0.2154	-0.2092	0.0223	-0.1334	-0.0093	1	1
