0	1	2	3	4	5	6	7	8	9	10	11	12	label	predict
12.7900	2.6700	2.4800	22.0000	112.0000	1.4800	1.3600	0.2400	1.2600	10.8000	0.4800	1.4700	480.0000	3	1
12.2900	2.8300	2.2200	18.0000	88.0000	2.4500	2.2500	0.2500	1.9900	2.1500	1.1500	3.3000	290.0000	2	1
12.3700	1.2100	2.5600	18.1000	98.0000	2.4200	2.6500	0.3700	2.0800	4.6000	1.1900	2.3000	678.0000	2	1
12.9300	2.8100	2.7000	21.0000	96.0000	1.5400	0.5000	0.5300	0.7500	4.6000	0.7700	2.3100	600.0000	3	1
12.0800	1.3300	2.3000	23.6000	70.0000	2.2000	1.5900	0.4200	1.3800	1.7400	1.0700	3.2100	625.0000	2	1
12.1600	1.6100	2.3100	22.8000	90.0000	1.7800	1.6900	0.4300	1.5600	2.4500	1.3300	2.2600	495.0000	2	1
12.6900	1.5300	2.2600	20.7000	80.0000	1.3800	1.4600	0.5800	1.6200	3.0500	0.9600	2.0600	495.0000	2	1
13.3600	2.5600	2.3500	20.0000	89.0000	1.4000	0.5000	0.3700	0.6400	5.6000	0.7000	2.4700	780.0000	3	1
12.4300	1.5300	2.2900	21.5000	86.0000	2.7400	3.1500	0.3900	1.7700	3.9400	0.6900	2.8400	352.0000	2	1
11.8400	2.8900	2.2300	18.0000	112.0000	1.7200	1.3200	0.4300	0.9500	2.6500	0.9600	2.5200	500.0000	2	1
13.4800	1.6700	2.6400	22.5000	89.0000	2.6000	1.1000	0.5200	2.2900	11.7500	0.5700	1.7800	620.0000	3	1
13.6900	3.2600	2.5400	20.0000	107.0000	1.8300	0.5600	0.5000	0.8000	5.8800	0.9600	1.8200	680.0000	3	1
13.6700	1.2500	1.9200	18.0000	94.0000	2.1000	1.7900	0.3200	0.7300	3.8000	1.2300	2.4600	630.0000	2	1
12.4200	4.4300	2.7300	26.5000	102.0000	2.2000	2.1300	0.4300	1.7100	2.0800	0.9200	3.1200	365.0000	2	1
12.7200	1.7500	2.2800	22.5000	84.0000	1.3800	1.7600	0.4800	1.6300	3.3000	0.8800	2.4200	488.0000	2	1
11.6400	2.0600	2.4600	21.6000	84.0000	1.9500	1.6900	0.4800	1.3500	2.8000	1.0000	2.7500	680.0000	2	1
12.8400	2.9600	2.6100	24.0000	101.0000	2.3200	0.6000	0.5300	0.8100	4.9200	0.8900	2.1500	590.0000	3	1
12.0800	2.0800	1.7000	17.5000	97.0000	2.2300	2.1700	0.2600	1.4000	3.3000	1.2700	2.9600	710.0000	2	1
11.0300	1.5100	2.2000	21.5000	85.0000	2.4600	2.1700	0.5200	2.0100	1.9000	1.7100	2.8700	407.0000	2	1
13.7800	2.7600	2.3000	22.0000	90.0000	1.3500	0.6800	0.4100	1.0300	9.5800	0.7000	1.6800	615.0000	3	1
12.9900	1.6700	2.6000	30.0000	139.0000	3.3000	2.8900	0.2100	1.9600	3.3500	1.3100	3.5000	985.0000	2	1
13.7100	5.6500	2.4500	20.5000	95.0000	1.6800	0.6100	0.5200	1.0600	7.7000	0.6400	1.7400	740.0000	3	1
12.4500	3.0300	2.6400	27.0000	97.0000	1.9000	0.5800	0.6300	1.1400	7.5000	0.6700	1.7300	880.0000	3	1
13.8400	4.1200	2.3800	19.5000	89.0000	1.8000	0.8300	0.4800	1.5600	9.0100	0.5700	1.6400	480.0000	3	1
13.0500	5.8000	2.1300	21.5000	86.0000	2.6200	2.6500	0.3000	2.0100	2.6000	0.7300	3.1000	380.0000	2	1
11.4100	0.7400	2.5000	21.0000	88.0000	2.4800	2.0100	0.4200	1.4400	3.0800	1.1000	2.3100	434.0000	2	1
12.1700	1.4500	2.5300	19.0000	104.0000	1.8900	1.7500	0.4500	1.0300	2.9500	1.4500	2.2300	355.0000	2	1
12.0700	2.1600	2.1700	21.0000	85.0000	2.6000	2.6500	0.3700	1.3500	2.7600	0.8600	3.2800	378.0000	2	1
